,opinion,rates
0,"Espectacular restaurante sobre el mismo acantilado de Miraflores. Terraza exterior y mesas interiores. Carta extensa en la que destaca unos buenos ceviches. Trato amable y buena relacion calidad/precio. Recomendable",40
1,"Buenacomida criolla. Platos abundantes, bien presentados y a buen precio
Un lugar donde comer rico a muy buen precio
Atencion de calidad y buen servicio",40
2,"El local en Miraflores es centrico, agradable, comida deliciosa, buena atencion, vale la pena darse un tiempo y visitarlo.",40
3,"El servicio me pareció lento. La comida no tiene mal sazón pero no es espectacular. Y algo no estaba bueno, la sopa criolla nos hizo daño.",10
4,"Con una hermosa vista al mar en el shopping larcomar. Pedimos un piqueo de varios platos locales. Excelente",50
5,"He ido muchas veces, en pareja, en familia y nunca defrauda! Me encantan sus mesas de madera amplias que invitan a las familias, la implicación de los camareros y por supuesto los sabores de cada uno de los platos...mi favorito el anticucho!",50
6,"Auténticos sabores de la comida peruana, atenciò profesional y cálida. Buenos vinos. Mobiliario adecuado. Totalmente recomendable.",50
7,"Comida agradable porciones algo pequeñas pero justas. Bebidas buenas. Precio ligeramente elevado al promedio. Todo ok.",40
8,"Restaurante con platos típicos peruanos, en un local con muy buen ambiente y fantásticas vistas al mar.
Comida y bebida de calidad con platos muy ricos y raciones generosas.
Servicio correcto",40
9,"Cuando dijeron vamos a desayunar a Tanta, nunca pensé que sería tan tan espectacular! Siempre creí que sería un lugar para almorzar o cenar, grata e increíble sorpresa el desayuno que tuvimos, jugos deliciosos, canastas de panes maravillosos, huevos fantásticos y combinaciones perfectas, por eso... ;""Más",50
10,"Gastronomía normal 
Postres nada relevantes 
Las bebidas la preparan de forma ligera 
Cervezas calientes .. 
no volvería",20
11,"Una causa deliciosa,  una cerveza cuzqueña red lager bien fria, una compañía entrañable,  un local,  en el Olivar,  moderno,  funcional y cómodo... .

Para almorzar bien a buen precio!!",40
12,"Todos los platillos que pedimos estuvieron  muy ricos, muy buena atención, porciones grandes, recomiendo al 100 el ceviche es delicioso, igual los postres!",50
13,"Pasamos una velada hermosa con vista al mar, comida súper sabrosa de calidad. Excelente presentación y atencion y el lugar es espectacular, muy recomendable.",50
14,"Se destaca la atención, súper atentos.
La comida deliciosa, platos muy ricos! Pedimos una tortilla clasica y rolls de lomo. Exquisito!",50
